idx,MPN from Gsheet,Title,Price,Link
0,PA03770-B615,,,
1,PA03770-B635,,,
2,B11B252201,Epson WorkForce ES-50 Portable Document Scanner,$99.99,https://www.adorama.com/iesses50.html?origterm=B11B252201&searchredirect=true
3,B11B226201,"Epson WorkForce ES-400 Duplex Document Scanner, 300 dpi Optical/1200 dpi Maximum Resolution, Up to 35 ppm/70 ipm Scan Speed, 50 Sheet Automatic Document Feeder",$329.99,https://www.adorama.com/ieses400.html?origterm=B11B226201&searchredirect=true
4,C31C514767,,,
5,L0H24A,HP LaserJet 110V Maintenance Kit,$327.99,https://www.adorama.com/ihpl0h24a.html?origterm=L0H24A&searchredirect=true
6,DS690GT-AS,,,
7,5HB11A,"HP DesignJet T630 Large Format Printer, 36"" Color Inkjet Plotter, Wireless","$1,899.00",
8,4229C001,,,
9,ADS-1200,"Flashpoint XPLOR Power 1200 Pro R2 TTL Flash and Pack Kit With High-Capacity Battery 36V, 5200mAh (Godox AD1200 Pro)","$1,599.00",https://www.adorama.com/fplfx1200khb.html?origterm=ADS-1200&searchredirect=true
10,C11CJ21201,Epson EcoTank Photo ET-8550 Wide-Format All-in-One Cartridge-Free Supertank Inkjet Printer,$699.99,https://www.adorama.com/ieset8550.html?origterm=C11CJ21201&searchredirect=true
11,B11B224201,"Epson Perfection V850 Pro Flatbed Photo Scanner, 6400 dpi Scanning Resolution, 12/15 s/page Color Speed, 4 Dmax Optical Density, USB 2.0, 2 Sets of Four Film Holders","$1,299.00",https://www.adorama.com/iesv850p.html?origterm=B11B224201&searchredirect=true
12,W1A80A,"HP Color LaserJet Pro MFP M479fdw Wireless Duplex Laser Printer, 27ppm (Black/Color), 600x600 dpi, 250 Sheet Standard Input Tray, Dual-Band Wi-Fi - Print, Copy, Scan, Fax, Email",$899.99,https://www.adorama.com/ihpm479fdw.html?origterm=W1A80A&searchredirect=true
13,8AG32A,"HP DesignJet T210 Large Format Printer, 24"" Color Inkjet Plotter, Wireless",$699.00,
14,B11B258201,Epson WorkForce ES-580W Wireless Duplex Touchscreen Desktop Document Scanner,$329.99,https://www.adorama.com/ies580w.html?origterm=B11B258201&searchredirect=true
15,B11B258201,Epson WorkForce ES-580W Wireless Duplex Touchscreen Desktop Document Scanner,$329.99,https://www.adorama.com/ies580w.html?origterm=B11B258201&searchredirect=true
16,B11B258201,Epson WorkForce ES-580W Wireless Duplex Touchscreen Desktop Document Scanner,$329.99,https://www.adorama.com/ies580w.html?origterm=B11B258201&searchredirect=true
17,ADS-1700W,Brother ADS-1700W Wireless Document Scanner,$279.99,https://www.adorama.com/brads1700w.html?origterm=ADS-1700W&searchredirect=true
18,HL-L2390DW,Brother HL-L2390DW All-In-One Monochrome Laser Printer,$223.99,https://www.adorama.com/brhll2390dw.html?origterm=HL-L2390DW&searchredirect=true
19,A320E,,,
20,B11B241201,"Epson WorkForce ES-200 Portable Duplex Document Scanner, 600 dpi Optical/1200 dpi Interpolated Resolution, 25ppm/50ipm (for Black/White, Color and Gray) Scan Speed, 20 Sheet Automatic Document Feeder",$189.99,https://www.adorama.com/ieses200.html?origterm=B11B241201&searchredirect=true
21,B11B241201,"Epson WorkForce ES-200 Portable Duplex Document Scanner, 600 dpi Optical/1200 dpi Interpolated Resolution, 25ppm/50ipm (for Black/White, Color and Gray) Scan Speed, 20 Sheet Automatic Document Feeder",$189.99,https://www.adorama.com/ieses200.html?origterm=B11B241201&searchredirect=true
22,C12C933151,"Epson 24"" Optional Stand for SureColor T3170 Wireless Printer",$262.00,https://www.adorama.com/ies12c933151.html?origterm=C12C933151&searchredirect=true
23,ADS-3300W,,,
24,ADS-3300W,,,
